"path_id"	"path_name"	"path_class"
"1"	"hsa01100"	"Metabolic pathways"	"Metabolism"
"2"	"hsa01200"	"Carbon metabolism"	"Metabolism"
"3"	"hsa01210"	"2-Oxocarboxylic acid metabolism"	"Metabolism"
"4"	"hsa01212"	"Fatty acid metabolism"	"Metabolism"
"5"	"hsa01230"	"Biosynthesis of amino acids"	"Metabolism"
"6"	"hsa01232"	"Nucleotide metabolism"	"Metabolism"
"7"	"hsa01250"	"Biosynthesis of nucleotide sugars"	"Metabolism"
"8"	"hsa01240"	"Biosynthesis of cofactors"	"Metabolism"
"9"	"hsa00010"	"Glycolysis / Gluconeogenesis"	"Metabolism"
"10"	"hsa00020"	"Citrate cycle (TCA cycle)"	"Metabolism"
"11"	"hsa00030"	"Pentose phosphate pathway"	"Metabolism"
"12"	"hsa00040"	"Pentose and glucuronate interconversions"	"Metabolism"
"13"	"hsa00051"	"Fructose and mannose metabolism"	"Metabolism"
"14"	"hsa00052"	"Galactose metabolism"	"Metabolism"
"15"	"hsa00053"	"Ascorbate and aldarate metabolism"	"Metabolism"
"16"	"hsa00500"	"Starch and sucrose metabolism"	"Metabolism"
"17"	"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"Metabolism"
"18"	"hsa00620"	"Pyruvate metabolism"	"Metabolism"
"19"	"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"Metabolism"
"20"	"hsa00640"	"Propanoate metabolism"	"Metabolism"
"21"	"hsa00650"	"Butanoate metabolism"	"Metabolism"
"22"	"hsa00562"	"Inositol phosphate metabolism"	"Metabolism"
"23"	"hsa00190"	"Oxidative phosphorylation"	"Metabolism"
"24"	"hsa00910"	"Nitrogen metabolism"	"Metabolism"
"25"	"hsa00920"	"Sulfur metabolism"	"Metabolism"
"26"	"hsa00061"	"Fatty acid biosynthesis"	"Metabolism"
"27"	"hsa00062"	"Fatty acid elongation"	"Metabolism"
"28"	"hsa00071"	"Fatty acid degradation"	"Metabolism"
"29"	"hsa00100"	"Steroid biosynthesis"	"Metabolism"
"30"	"hsa00120"	"Primary bile acid biosynthesis"	"Metabolism"
"31"	"hsa00140"	"Steroid hormone biosynthesis"	"Metabolism"
"32"	"hsa00561"	"Glycerolipid metabolism"	"Metabolism"
"33"	"hsa00564"	"Glycerophospholipid metabolism"	"Metabolism"
"34"	"hsa00565"	"Ether lipid metabolism"	"Metabolism"
"35"	"hsa00600"	"Sphingolipid metabolism"	"Metabolism"
"36"	"hsa00590"	"Arachidonic acid metabolism"	"Metabolism"
"37"	"hsa00591"	"Linoleic acid metabolism"	"Metabolism"
"38"	"hsa00592"	"alpha-Linolenic acid metabolism"	"Metabolism"
